aid,uid,label
157,399,-1
128,400,-1
128,401,-1
169,402,-1
129,403,-1
48,404,-1
150,405,-1
48,406,-1
165,407,-1
128,408,-1
136,409,-1
101,410,-1
118,411,-1
118,412,-1
135,413,-1
169,414,-1
12,415,-1
153,416,-1
111,417,-1
135,418,-1
8,419,-1
129,420,-1
78,421,-1
42,422,-1
6,423,-1
13,424,-1
31,425,-1
136,426,-1
153,427,-1
78,428,-1
39,429,-1
119,430,-1
40,431,-1
25,432,-1
150,433,-1
147,434,-1
165,435,-1
14,436,-1
128,437,-1
133,438,-1
66,439,-1
161,440,-1
32,441,-1
136,442,-1
32,443,-1
147,444,-1
35,445,-1
128,446,-1
89,447,-1
63,448,-1
120,449,-1
118,450,-1
169,451,-1
161,452,-1
169,453,-1
161,454,-1
154,455,-1
34,456,-1
133,457,-1
48,458,-1
47,459,-1
104,460,-1
161,461,-1
153,462,-1
149,463,-1
32,464,-1
32,465,-1
129,466,-1
59,467,-1
68,468,-1
141,469,-1
171,470,-1
25,471,-1
136,472,-1
123,473,-1
34,474,-1
42,475,-1
158,476,-1
149,477,-1
161,478,-1
136,479,-1
18,480,-1
173,481,-1
25,482,-1
89,483,-1
150,484,-1
61,485,-1
45,486,-1
116,487,-1
129,488,-1
101,489,-1
132,490,-1
116,491,-1
128,492,-1
101,493,-1
42,494,-1
101,495,-1
11,496,-1
136,497,-1
147,498,-1
161,499,-1
169,500,-1
66,501,-1
165,502,-1
136,503,-1
104,504,-1
171,505,-1
75,506,-1
12,507,-1
23,508,-1
149,509,-1
135,510,-1
136,511,-1
128,512,-1
157,513,-1
22,514,-1
118,515,-1
8,516,-1
136,517,-1
66,518,-1
111,519,-1
61,520,-1
25,521,-1
13,522,-1
55,523,-1
128,524,-1
38,525,-1
72,526,-1
136,527,-1
71,528,-1
132,529,-1
135,530,-1
128,531,-1
117,532,-1
167,533,-1
155,534,-1
169,535,-1
117,536,-1
35,537,-1
170,538,-1
173,539,-1
169,540,-1
75,541,-1
98,542,-1
66,543,-1
89,544,-1
135,545,-1
32,546,-1
49,547,-1
48,548,-1
169,549,-1
23,550,-1
120,551,-1
142,552,-1
66,553,-1
171,554,-1
32,555,-1
136,556,-1
21,557,-1
165,558,-1
128,559,-1
42,560,-1
169,561,-1
89,562,-1
49,563,-1
147,564,-1
60,565,-1
63,566,-1
160,567,-1
32,568,-1
161,569,-1
150,570,-1
170,571,-1
32,572,-1
111,573,-1
147,574,-1
35,575,-1
105,576,-1
66,577,-1
24,578,-1
21,579,-1
108,580,-1
135,581,-1
135,582,-1
138,583,-1
24,584,-1
34,585,-1
37,586,-1
161,587,-1
111,588,-1
153,589,-1
135,590,-1
138,591,-1
143,592,-1
66,593,-1
118,594,-1
111,595,-1
117,596,-1
66,597,-1
